,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
5378,"Q2, Q3: list/dictionary items are accessed correctly. However, can you get the items in one line?"" 100","Q2, Q3: list/dictionary items are accessed correctly. However, can you get the items in one line?"" ",Sensemaking 1&Impact 1,100,777,Agency2 Sensemaking2 Impact1 Sensemaking1 Agency2 Sensemaking1 Impact1,Agency2 Sensemaking2 Impact1 Sensemaking1,4,Agency Sensemaking Impact,3,16
5379,"""Well done!For task B, actually, we don't need to create a new variable total, because total is n * ten;every time. It can be simplified as:if ten == 0: return 0else: return n * ten + total_sum(n,ten-1)Similar logic can be applied to str_len in task C, where str_len equals 1 every time."" 100","""Well done!For task B, actually, we don't need to create a new variable total, because total is n * ten;every time. It can be simplified as:if ten == 0: return 0else: return n * ten + total_sum(n,ten-1)Similar logic can be applied to str_len in task C, where str_len equals 1 every time."" ",Agency 2&Sensemaking 1&Impact 1,100,778,Agency2 Sensemaking1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,52
5380,Well done! 100,Well done!,Agency 2,100,779,Agency2,Agency2,1,Agency,1,2
5381,Well done!You can also try to put the if conditions in the same level. It can be hard to manage so many nested if conditions sometimes. 100,Well done!You can also try to put the if conditions in the same level. It can be hard to manage so many nested if conditions sometimes.,Agency 2&Impact 1,100,780,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,26
5382,"""You have demonstrated very clear logic once again, which can be reflected by the clean code structure. Excellent!;"" 100","""You have demonstrated very clear logic once again, which can be reflected by the clean code structure. Excellent!;"" ",Sensemaking 1&Agency 2,100,781,Sensemaking1 Agency2,Sensemaking1 Agency2,2,Sensemaking Agency,2,18
5383,Please submit it on time next time. 100,Please submit it on time next time.,Impact 3,100,782,Impact3,Impact3,1,Impact,1,7
5387,"If you are interested, please take the following snippet as reference:;https://trinket.io/python/c13544532c"" 50","If you are interested, please take the following snippet as reference:;https://trinket.io/python/c13544532c"" ",Agency 1,50,783,Sensemaking2 Impact1 Sensemaking1 Impact1 Sensemaking1 Agency1,Sensemaking2 Impact1 Sensemaking1 Agency1,4,Sensemaking Impact Agency,3,11
5388,Please use Jupyter notebook to complete weekly lab activities next time. 100,Please use Jupyter notebook to complete weekly lab activities next time.,Impact 2,100,784,Impact2,Impact2,1,Impact,1,11
5389,Please be careful with your similarity. 100,Please be careful with your similarity.,Impact 3,100,785,Impact3,Impact3,1,Impact,1,6
5390,Note: supposed to use __add__ magic method so we can use + operator between points 100,Note: supposed to use __add__ magic method so we can use + operator between points,Sensemaking 1,100,786,Sensemaking1,Sensemaking1,1,Sensemaking,1,15
5391,Ver high similarity 100,Ver high similarity,Sensemaking 2,100,787,Sensemaking2,Sensemaking2,1,Sensemaking,1,3
5394,"Task A:Method 3 is preferred, but the line 'c = ....' can be changed to 'c = a + b' instead."" 100","Task A:Method 3 is preferred, but the line 'c = ....' can be changed to 'c = a + b' instead."" ",Impact 1,100,788,Agency2 Impact1 Agency3 Impact1,Agency2 Impact1 Agency3,3,Agency Impact,2,21
5395,Well done! Nicely commented. 100,Well done! Nicely commented.,Agency 2,100,789,Agency2,Agency2,1,Agency,1,4
5396,Excellent! 100,Excellent!,Agency 2,100,790,Agency2,Agency2,1,Agency,1,1
5398,Well done!Task B.Tree.png is demonstrated in the lab already. Please try on tree1.png 50,Well done!Task B.Tree.png is demonstrated in the lab already. Please try on tree1.png,Agency 2&Impact 1,50,791,Impact1 Agency2 Impact1,Impact1 Agency2,2,Impact Agency,2,13
5402,"Task 2:Good job!"" 100","Task 2:Good job!"" ",Agency 2,100,792,Agency2 Sensemaking1 Impact1 Sensemaking1 Agency2,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,3
5403,High 58 percent similarity 100,High 58 percent similarity,Sensemaking 2,100,793,Sensemaking2,Sensemaking2,1,Sensemaking,1,4
5404,be careful about the high similarity 100,be careful about the high similarity,Sensemaking 2,100,794,Sensemaking2,Sensemaking2,1,Sensemaking,1,6
5405,Please make sure to show the output of your programs as part of your submission. 100,Please make sure to show the output of your programs as part of your submission.,Impact 1,100,795,Impact1,Impact1,1,Impact,1,15
5406,Well done!Task C:How can we make the error message more specific? (i.e. showing exactly which argument is wrong) 100,Well done!Task C:How can we make the error message more specific? (i.e. showing exactly which argument is wrong),Agency 2&Impact 1,100,796,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,18
5407,Can not check the ouput 50,Can not check the ouput,Sensemaking 1,50,797,Sensemaking1,Sensemaking1,1,Sensemaking,1,5
5410,"Q2,Q3: list/dictionary items are accessed correctly. For Q2, you are not required to check the type of each item in the list."" 100","Q2,Q3: list/dictionary items are accessed correctly. For Q2, you are not required to check the type of each item in the list."" ",Sensemaking 1,100,798,Agency2 Impact1 Sensemaking1 Agency2 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,22
5411,Next time display the test data and the results 100,Next time display the test data and the results,Impact 1,100,799,Impact1,Impact1,1,Impact,1,9
5412,Task A: quit is not included 100,Task A: quit is not included,Sensemaking 1,100,800,Sensemaking1,Sensemaking1,1,Sensemaking,1,6
5415,"Task 2:Please do some researches on matric multiplication.P.S. Feel free to come to the consultation if there is any confusion."" 50","Task 2:Please do some researches on matric multiplication.P.S. Feel free to come to the consultation if there is any confusion."" ",Agency 1,50,801,Agency2 Impact1 Sensemaking1 Agency1,Agency2 Impact1 Sensemaking1 Agency1,4,Agency Impact Sensemaking,3,20
5416,Well done! 100,Well done!,Agency 2,100,802,Agency2,Agency2,1,Agency,1,2
5417,"""Basically, cocktail sort is a bi-directional bubble sort. In each iteration, it sinks the largest unsorted item to the end of unsorted items and floats the smallest item to the start of unsorted items.For example, in the first iteration, the forward bubble sort will give us [1,4,2,5,0,2,8] and the reverse bubble sort will give us [0,1,4,2,5,2,8]. So after the first iteration, 0 will be in front and 8 will be in the last.In the second iteration, we only need to do bidirectional bubble sort within [1,4,2,5,2]. And then so on and so forth.Well done overall!"" 100","""Basically, cocktail sort is a bi-directional bubble sort. In each iteration, it sinks the largest unsorted item to the end of unsorted items and floats the smallest item to the start of unsorted items.For example, in the first iteration, the forward bubble sort will give us [1,4,2,5,0,2,8] and the reverse bubble sort will give us [0,1,4,2,5,2,8]. So after the first iteration, 0 will be in front and 8 will be in the last.In the second iteration, we only need to do bidirectional bubble sort within [1,4,2,5,2]. And then so on and so forth.Well done overall!"" ",Sensemaking 1&Impact 1&Agency 2,100,803,Sensemaking1 Impact1 Agency2,Sensemaking1 Impact1 Agency2,3,Sensemaking Impact Agency,3,95
5418,High 63 percent similarity 100,High 63 percent similarity,Sensemaking 2,100,804,Sensemaking2,Sensemaking2,1,Sensemaking,1,4
5419,please be careful about the very high similarity of your work 100,please be careful about the very high similarity of your work,Sensemaking 2,100,805,Sensemaking2,Sensemaking2,1,Sensemaking,1,11
5420,Area of rectangle not shown. 50,Area of rectangle not shown.,Sensemaking 1,50,806,Sensemaking1,Sensemaking1,1,Sensemaking,1,5
5424,"You can have a look at this snippet as a reference:;https://trinket.io/python/c13544532c"" 100","You can have a look at this snippet as a reference:;https://trinket.io/python/c13544532c"" ",Agency 1,100,807,Sensemaking2 Sensemaking1 Impact1 Agency2 Sensemaking1 Impact1 Agency1,Sensemaking2 Sensemaking1 Impact1 Agency2 Agency1,5,Sensemaking Impact Agency,3,11
5426,"Task C:For the error message, it has to be more specific. In the code, it only prints out """"wrong type of arguments"""", but what we want when debugging is to know which argument goes wrong."" 100","Task C:For the error message, it has to be more specific. In the code, it only prints out """"wrong type of arguments"""", but what we want when debugging is to know which argument goes wrong."" ",Sensemaking 1,100,808,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,35
5427,Well done! 100,Well done!,Agency 2,100,809,Agency2,Agency2,1,Agency,1,2
5428,Great 100,Great,Agency 2,100,810,Agency2,Agency2,1,Agency,1,1
5429,"""Good attempt, Xinhai. But please remember that don't leave your submission as a draft next time, and please generate PDF from Pycharm by unclicking the button 'figure ..."""", although we highly recommend using jupyter notebook to complete the lab activities."" 100","""Good attempt, Xinhai. But please remember that don't leave your submission as a draft next time, and please generate PDF from Pycharm by unclicking the button 'figure ..."""", although we highly recommend using jupyter notebook to complete the lab activities."" ",Agency 2&Impact 1,100,811,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,40
5433,"Good job overall. Keep it up!"" 100","Good job overall. Keep it up!"" ",Agency 2&Agency 3,100,812,Agency2 Sensemaking1 Agency2 Impact1 Agency2 Agency3,Agency2 Sensemaking1 Impact1 Agency3,4,Agency Sensemaking Impact,3,6
5439,"Keep it up!"" 100","Keep it up!"" ",Agency 3,100,813,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Agency2 Agency3,Agency2 Sensemaking1 Impact1 Agency3,4,Agency Sensemaking Impact,3,3
5440,Need to use Queue class to implement Stack in Task 2 50,Need to use Queue class to implement Stack in Task 2,Impact 1,50,814,Impact1,Impact1,1,Impact,1,11
5441,Well done!Task B: it would be more natural to return 0 instead of False when ten == 0. 100,Well done!Task B: it would be more natural to return 0 instead of False when ten == 0.,Agency 2&Impact 1,100,815,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,18
5442,Please show the outputs of all programs in future submissions. 100,Please show the outputs of all programs in future submissions.,Impact 2,100,816,Impact2,Impact2,1,Impact,1,10
5443,Well done! 100,Well done!,Agency 2,100,817,Agency2,Agency2,1,Agency,1,2
5447,"Keep it up!"" 100","Keep it up!"" ",Agency 3,100,818,Agency2 Sensemaking1 Sensemaking1 Agency2 Agency3,Agency2 Sensemaking1 Agency3,3,Agency Sensemaking,2,3
5453,DO NOT read from a notebook/script in your presentation 56.25,DO NOT read from a notebook/script in your presentation,Impact 3,56.25,819,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact3,Sensemaking1 Impact3,2,Sensemaking Impact,2,9
5456,"A cost estimation is required for budget and also justiying the number of equipment used, for example, 9 APs are used in your design, but less number of AP with high-coverage can also be used."" 100","A cost estimation is required for budget and also justiying the number of equipment used, for example, 9 APs are used in your design, but less number of AP with high-coverage can also be used."" ",Sensemaking 1,100,820,Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,35
5457,"""What is the justification for using 6 switches per floor? (4 24 port, 2 48 port switch, slide 5)"" 100","""What is the justification for using 6 switches per floor? (4 24 port, 2 48 port switch, slide 5)"" ",Sensemaking 1,100,821,Sensemaking1,Sensemaking1,1,Sensemaking,1,19
5462,"3. I would recommend you to show APs coverage using circles in the diagram (slide 5) ; ; "" 50","3. I would recommend you to show APs coverage using circles in the diagram (slide 5) ; ; "" ",Impact 1,50,822,Sensemaking1 Agency1 Impact1 Impact1 Impact1 Impact1,Sensemaking1 Agency1 Impact1,3,Sensemaking Agency Impact,3,19
5468,Where is your load calculation? 100,Where is your load calculation?,Sensemaking 1,100,823,Impact1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1,Impact1 Sensemaking1,2,Impact Sensemaking,2,5
5472,"Task C For Internal to DMZ: Should use stateful inspection."" 93","Task C For Internal to DMZ: Should use stateful inspection."" ",Impact 1,93,824,Agency2 Impact1 Impact1 Impact1,Agency2 Impact1,2,Agency Impact,2,10
5476,A cost estimation is required for budget and also justiying the number of equipment used 100,A cost estimation is required for budget and also justiying the number of equipment used,Impact 1,100,825,Impact1 Sensemaking1 Sensemaking1 Impact1,Impact1 Sensemaking1,2,Impact Sensemaking,2,15
5477,Good work 93.75,Good work,Agency 2,93.75,826,Agency2,Agency2,1,Agency,1,2
5482,";Better to mention and justify what all devices including cables along with names, specifications, the capacity have been used in your design connection."" 75",";Better to mention and justify what all devices including cables along with names, specifications, the capacity have been used in your design connection."" ",Impact 1,75,827,Agency2 Impact1 Impact1 Impact1 Impact1 Impact1,Agency2 Impact1,2,Agency Impact,2,23
5485,"Keep it up."" 100","Keep it up."" ",Agency 2,100,828,Agency2 Sensemaking1 Agency2,Agency2 Sensemaking1,2,Agency Sensemaking,2,3
5492,"3.; Justification is needed for the choice of Routers/Switches (e.g., ;why you used two 24 port gigabit switches?) ; ; "" 50","3.; Justification is needed for the choice of Routers/Switches (e.g., ;why you used two 24 port gigabit switches?) ; ; "" ",Impact 1,50,829,Impact1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1,Impact1 Sensemaking1,2,Impact Sensemaking,2,21
5500,"Cost/budget?"" 56.25","Cost/budget?"" ",Impact 1,56.25,830,Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1,Impact1 Sensemaking1,2,Impact Sensemaking,2,1
5503,what if number of users per floor increase from 50 to 60 (future growth)? 87.5,what if number of users per floor increase from 50 to 60 (future growth)?,Impact 1,87.5,831,Sensemaking1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,14
5509,"Channel allocation for APs also present."" 100","Channel allocation for APs also present."" ",Sensemaking 1,100,832,Agency1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1,Agency1 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,6
5513,"Note:This feedback only covers the above aspects and is not supposed to provide any detailed feedback on the design/work."" 50","Note:This feedback only covers the above aspects and is not supposed to provide any detailed feedback on the design/work."" ",Agency 1,50,833,Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Agency1,2,Sensemaking Agency,2,19
